Resultseientific,Resultseientific,TX_ID
9540.000000,9.5400 x 10^3,312
0.000000,0.0000 x 10^0,278
647.000000,6.4700 x 10^2,379
-6544.000000,-6.5440 x 10^3,420
2433170.000000,2.4332 x 10^6,378
2637640.000000,2.6376 x 10^6,275
0.040400,4.0400 x 10^-2,339
168.000000,1.6800 x 10^2,346
0.000000,0.0000 x 10^0,345
0.013400,1.3400 x 10^-2,418
7304.000000,7.3040 x 10^3,280
425.000000,4.2500 x 10^2,311
0.178500,1.7850 x 10^-1,385
-961.000000,-9.6100 x 10^2,416
3843288.000000,3.8433 x 10^6,277
0.046700,4.6700 x 10^-2,276
1541.000000,1.5410 x 10^3,340
2859360.000000,2.8594 x 10^6,419
0.006200,6.2000 x 10^-3,267
-8319.000000,-8.3190 x 10^3,265
-4563.000000,-4.5630 x 10^3,338
0.951000,9.5100 x 10^-1,263
0.000000,0.0000 x 10^0,318
0.063900,6.3900 x 10^-2,279
3137.000000,3.1370 x 10^3,264
230886.000000,2.3089 x 10^5,386
0.000000,0.0000 x 10^0,266
0.066300,6.6300 x 10^-2,6
8578.000000,8.5780 x 10^3,380
3358088.000000,3.3581 x 10^6,422
384.000000,3.8400 x 10^2,421
1532124.000000,1.5321 x 10^6,284
2120.000000,2.1200 x 10^3,423
23304.000000,2.3304 x 10^4,381
988.000000,9.8800 x 10^2,387
0.402600,4.0260 x 10^-1,424
-823.000000,-8.2300 x 10^2,281
13.000000,1.3000 x 10^1,383
4500980.000000,4.5010 x 10^6,341
0.000000,0.0000 x 10^0,388
466.000000,4.6600 x 10^2,485
3.000000,3.0000 x 10^0,389
0.013100,1.3100 x 10^-2,321
9846.000000,9.8460 x 10^3,382
567648.000000,5.6765 x 10^5,445
723.000000,7.2300 x 10^2,428
0.000000,0.0000 x 10^0,313
0.000000,0.0000 x 10^0,476
1529.000000,1.5290 x 10^3,425
-2486.000000,-2.4860 x 10^3,449
6679.000000,6.6790 x 10^3,426
106.000000,1.0600 x 10^2,468
5867653.000000,5.8677 x 10^6,478
0.000000,0.0000 x 10^0,450
-2268.000000,-2.2680 x 10^3,479
0.258200,2.5820 x 10^-1,427
335.000000,3.3500 x 10^2,429
1649.000000,1.6490 x 10^3,323
2533680.000000,2.5337 x 10^6,319
5496477.000000,5.4965 x 10^6,466
7366.000000,7.3660 x 10^3,447
1.000000,1.0000 x 10^0,470
0.000000,0.0000 x 10^0,391
0.000000,0.0000 x 10^0,451
4158.000000,4.1580 x 10^3,467
855.000000,8.5500 x 10^2,469
398.000000,3.9800 x 10^2,477
463148.000000,4.6315 x 10^5,448
4844868.000000,4.8449 x 10^6,320
0.000000,0.0000 x 10^0,446
333.000000,3.3300 x 10^2,314
5933357.000000,5.9334 x 10^6,430
-3031.000000,-3.0310 x 10^3,483
5317.000000,5.3170 x 10^3,536
6080.000000,6.0800 x 10^3,322
0.489700,4.8970 x 10^-1,437
59085.000000,5.9085 x 10^4,471
0.149400,1.4940 x 10^-1,250
0.000000,0.0000 x 10^0,3038
0.078100,7.8100 x 10^-2,3017
0.102300,1.0230 x 10^-1,3006
611.000000,6.1100 x 10^2,512
0.126000,1.2600 x 10^-1,438
46.000000,4.6000 x 10^1,3035
0.000000,0.0000 x 10^0,520
-3987.000000,-3.9870 x 10^3,3011
847756.000000,8.4776 x 10^5,490
2145.000000,2.1450 x 10^3,514
-9052.000000,-9.0520 x 10^3,513
0.000000,0.0000 x 10^0,3020
3448643.000000,3.4486 x 10^6,3039
-8182.000000,-8.1820 x 10^3,3008
0.018800,1.8800 x 10^-2,439
-3781.000000,-3.7810 x 10^3,3010
1631747.000000,1.6317 x 10^6,3014
-90.000000,-9.0000 x 10^1,3028
3107880.000000,3.1079 x 10^6,3013
8249.000000,8.2490 x 10^3,334
5219.000000,5.2190 x 10^3,3036
6681138.000000,6.6811 x 10^6,3037
253.000000,2.5300 x 10^2,301
8161184.000000,8.1612 x 10^6,3033
0.053600,5.3600 x 10^-2,3005
0.249900,2.4990 x 10^-1,3009
799.000000,7.9900 x 10^2,3004
152.000000,1.5200 x 10^2,3032
1490145.000000,1.4901 x 10^6,3019
-3791.000000,-3.7910 x 10^3,3057
648.000000,6.4800 x 10^2,3021
154.000000,1.5400 x 10^2,3041
0.000000,0.0000 x 10^0,3056
6152.000000,6.1520 x 10^3,3159
